habitat_type;sampling_regime;plot_id_year;exploratory;plot_id;collection_year;biomass;abundance_unidentified_identified;abundance_identified;species;abundance_carnivore;species_carnivore;biomass_carnivore;abundance_herbivore;species_herbivore;biomass_herbivore;abundance_detritomycetophage;species_detritomycetophage;biomass_detritomycetophage;abundance_omnivore;species_omnivore;biomass_omnivore;abundance_weak_disperser;species_weak_disperser;biomass_weak_disperser;abundance_strong_disperser;species_strong_disperser;biomass_strong_disperser;landuse_intensity;mean_winter_temperature;precipitation_sum_growing_preriod;grassland_cover_250;grassland_cover_500;grassland_cover_1000;grassland_cover_1500;arable_cover_1000;arable_cover_1500;arable_cover_250;arable_cover_500
grassland;annual;AEG02_2008;ALB;AEG2;2008;929638728126018;1241;499;40;5;4;275.659463004416;489;33;89078149488909;1;1;3.02310542501877;4;2;109.889763939846;34;8;9296.38728126018;12;3;133932066213508;328;122671123966942;64833;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2009;ALB;AEG2;2009;981269091863991;1202;609;36;7;7;627.392563258841;601;28;916237761723476;0;0;0;1;1;22.920738146307;19;6;9812.69091863991;4;2;107790135724055;328;-75705875;78709999;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2010;ALB;AEG2;2010;190609638240447;214;12;8;0;0;0;12;8;190609638240447;0;0;0;0;0;0;3;2;190.609638240447;2;1;380382076211886;328;-79059725;69856;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2011;ALB;AEG2;2011;198623423942029;407;175;15;2;2;50.2343055499001;173;13;193599993387039;0;0;0;0;0;0;0;0;1986.23423942029;0;0;0;328;-543979;58646;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2012;ALB;AEG2;2012;133162848491558;566;78;15;0;0;0;70;13;116863051056965;0;0;0;8;2;162.997974345922;6;2;1331.62848491558;1;1;325436352828565;328;-247100330578512;58343;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2013;ALB;AEG2;2013;142746941898271;298;57;22;7;5;890.275042854327;50;17;537194376128382;0;0;0;0;0;0;5;4;1427.46941898271;3;2;94632556990429;328;-70628583333333;7977;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2014;ALB;AEG2;2014;258577076991327;1220;92;23;12;5;79.3009184548868;75;16;241291191115198;0;0;0;5;2;93.5579403063994;15;3;2585.77076991327;0;0;827093564444775;328;187286108333333;7699;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2015;ALB;AEG2;2015;16708430238638;295;73;22;4;4;350.647135161146;69;18;132019588870266;0;0;0;0;0;0;14;6;1670.8430238638;6;4;810014753629575;328;10678125;57935;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2016;ALB;AEG2;2016;221426814133712;324;29;16;3;2;28.5500469198974;25;13;208924299959938;0;0;0;1;1;96.475094817846;6;4;2214.26814133712;4;3;133226961862526;328;315500016528926;71669;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG02_2017;ALB;AEG2;2017;156574533165233;703;62;28;11;7;386.070406846649;51;21;117967492480568;0;0;0;0;0;0;8;4;1565.74533165233;6;2;66439757078036;328;133354333333333;70846;4535;3437;368;3122;3171;1781;3055;3868
grassland;annual;AEG03_2008;ALB;AEG3;2008;974341426590905;1457;476;39;8;3;412.298692666792;457;35;907898745363288;0;0;0;11;1;252.128119609377;37;6;9743.41426590905;10;3;424536082527829;177;784817272727273;57442;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2009;ALB;AEG3;2009;787853191549463;658;149;36;5;5;280.382579215821;142;30;75523078599862;0;0;0;2;1;45.841476292614;40;4;7878.53191549463;3;2;346590496349412;177;-114541333333333;72576;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2010;ALB;AEG3;2010;286440187030335;688;133;31;8;5;283.142097549726;125;26;258125977275362;0;0;0;0;0;0;27;5;2864.40187030335;3;3;694029010733644;177;-95812108333333;8031;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2011;ALB;AEG3;2011;383085179056525;262;78;28;4;4;71.8553343005009;73;23;373607571811844;0;0;0;1;1;22.920738146307;13;4;3830.85179056525;6;3;119678408214281;177;-86646175;60929;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2012;ALB;AEG3;2012;802623228066408;658;135;39;8;8;814.082962355258;123;28;70400043723313;0;0;0;4;3;172.144945977518;65;5;8026.23228066408;5;2;461779862184457;177;-53416297520661;61465;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2013;ALB;AEG3;2013;295030858762356;451;67;27;6;4;299.292333928264;60;22;262809551554899;0;0;0;1;1;22.920738146307;10;4;2950.30858762356;7;2;191256477380747;177;-77175341666667;79748;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2014;ALB;AEG3;2014;401320176611468;1226;35;17;5;4;21.8486741258894;29;12;378735032091803;0;0;0;1;1;0.736470393775502;8;5;401.320176611468;1;1;763396472229665;177;161204491666667;78878999;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2015;ALB;AEG3;2015;217516895608642;443;74;23;4;4;111.422032627711;68;17;203827337799063;0;0;0;2;2;25.4735454680802;6;3;2175.16895608642;5;2;677233077382182;177;704822583333333;69085;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2016;ALB;AEG3;2016;111055133717526;1509;130;34;12;7;299.343084297008;118;27;108061702874556;0;0;0;0;0;0;45;8;11105.5133717526;28;5;954960806192649;177;297863636363636;66916;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG03_2017;ALB;AEG3;2017;569988900274132;726;186;35;5;4;127.311556422628;179;29;553396332331061;0;0;0;2;2;38.614123008081;29;6;5699.88900274132;16;5;347417326613732;177;-731215;71328;5981;415;3161;3093;2101;226;1728;2453
grassland;annual;AEG04_2008;ALB;AEG4;2008;277268416652127;2094;1262;37;8;5;305.743137697478;1250;29;273892440165183;0;0;0;4;3;31.8545109968891;209;4;27726.8416652127;1;1;165757246455827;18;154075752066116;67489;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2009;ALB;AEG4;2009;105804681194507;729;239;34;13;9;650.99575577751;223;24;980608971517038;0;0;0;3;1;123.382648502774;90;4;10580.4681194507;1;1;680180133908834;18;-92567025;76014;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2010;ALB;AEG4;2010;272494073580536;535;145;21;7;4;238.451434726726;138;17;248648930107863;0;0;0;0;0;0;4;4;2724.94073580536;1;1;788808387741862;18;-77038175;68615;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2011;ALB;AEG4;2011;617197406246429;588;187;20;9;6;466.879836108843;177;13;570333957627307;0;0;0;1;1;1.75465008237019;47;3;6171.97406246429;1;1;353575474448437;18;-72065333333333;55058;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2012;ALB;AEG4;2012;143701574826612;624;267;31;5;4;92.7278392933681;260;25;14235924362429;0;0;0;2;2;41.505280938821;167;4;14370.1574826612;1;1;126366335292314;18;-343299421487603;60061;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2013;ALB;AEG4;2013;204728695759661;346;58;21;7;5;147.771111887926;51;16;189951584570869;0;0;0;0;0;0;5;2;2047.28695759661;2;1;137200721148372;18;-110875166666667;81275;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2015;ALB;AEG4;2015;37790625310897;668;166;27;11;8;362.7299717517;154;18;338650418447095;0;0;0;1;1;29.8283748670576;16;6;3779.0625310897;9;3;166415325178877;18;111430191666667;61778;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2016;ALB;AEG4;2016;403479597379348;356;84;27;7;5;225.408973268761;77;22;380938700052471;0;0;0;0;0;0;8;5;4034.79597379348;6;3;243996153093204;18;250590933884298;86544001;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG04_2017;ALB;AEG4;2017;15213165455971;519;58;23;4;3;82.8812283040881;53;19;142690882891746;0;0;0;1;1;11.5264883755522;9;6;1521.3165455971;2;2;100935648150406;18;-117685091666667;7089;6322;4819;4151;3419;425;632;242;174
grassland;annual;AEG05_2008;ALB;AEG5;2008;655420657537627;4176;2785;69;27;18;1065.41675635147;2754;47;643643744391131;0;0;0;4;4;112.27455829815;426;11;65542.0657537627;10;3;322672426971046;186;136594371900826;70796;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2009;ALB;AEG5;2009;105237471877035;2501;733;29;14;8;126.536084553244;718;20;103263520075031;0;0;0;1;1;70.8590956471639;14;6;10523.7471877035;2;2;14071610721474;186;-90424991666667;78428;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2010;ALB;AEG5;2010;245614008188844;784;140;18;5;3;359.987143418584;133;13;209351590171876;0;0;0;2;2;2.63703675109361;1;1;2456.14008188844;0;0;780341027909911;186;-78323241666667;71552;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2011;ALB;AEG5;2011;630277677873131;570;358;22;3;3;39.092624773961;355;19;626368415395735;0;0;0;0;0;0;2;1;6302.77677873131;2;1;118616143070364;186;-6510485;56213;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2012;ALB;AEG5;2012;494922299605986;551;161;24;2;2;69.5690333394319;156;20;479268493692689;0;0;0;3;2;86.9690257935385;10;6;4949.22299605986;2;1;154209058203301;186;-398488099173554;58332;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2013;ALB;AEG5;2013;48021295725131;632;48;13;1;1;42.8060298962233;47;12;475932354261687;0;0;0;0;0;0;11;3;4802.1295725131;8;2;417147915868441;186;-439173166666667;81952;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2014;ALB;AEG5;2014;828386227071501;514;21;13;2;2;60.8384053027576;19;11;767547821768743;0;0;0;0;0;0;2;1;828.386227071501;0;0;481368047162438;186;133952791666667;82055;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2015;ALB;AEG5;2015;560499809569877;489;172;23;6;3;166.019455566723;165;19;54258803990338;0;0;0;1;1;13.0982410982502;18;5;5604.99809569877;14;3;305158620225398;186;636829666666667;62715;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2016;ALB;AEG5;2016;35769712541931;864;65;23;5;5;83.4138603999127;60;18;349355739379319;0;0;0;0;0;0;9;3;3576.9712541931;4;1;268686611280706;186;252425256198347;73687;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG05_2017;ALB;AEG5;2017;973557050526001;188;44;21;1;1;2.7818133518859;43;20;970775237174115;0;0;0;0;0;0;2;2;973.557050526001;2;2;594609300965034;186;-493618333333333;72681;3797;3608;3561;3485;192;714;0;0
grassland;annual;AEG06_2008;ALB;AEG6;2008;722979027503077;2533;1440;55;16;10;437.975113724026;1418;41;710720109287901;0;0;0;6;4;787.916707793525;744;9;72297.9027503077;16;5;587236346133813;212;148517198347107;70796;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2009;ALB;AEG6;2009;319418115145025;1015;515;29;4;2;511.137293360181;510;26;314008458462752;0;0;0;1;1;29.8283748670576;338;4;31941.8115145025;3;3;267457670729574;212;-77846841666667;78428;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2010;ALB;AEG6;2010;193523746046883;1432;134;28;4;4;284.200053128576;129;23;164561293465441;0;0;0;1;1;5.42447268584173;3;2;1935.23746046883;1;1;175073109858462;212;-5548995;71552;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2011;ALB;AEG6;2011;653947961367735;914;424;30;6;5;457.716919237172;416;23;607698493893278;1;1;3.02310542501877;1;1;1.75465008237019;8;2;6539.47961367735;1;1;55776520791249;212;-467885416666667;56213;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2012;ALB;AEG6;2012;170487736432371;217;38;18;0;0;0;38;18;170487736432371;0;0;0;0;0;0;12;2;1704.87736432371;1;1;859903716314115;212;-15481041322314;58332;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2013;ALB;AEG6;2013;52391602286215;487;29;13;3;2;81.5654197273087;25;10;434820956383979;0;0;0;1;1;7.52964675086163;4;2;523.91602286215;4;2;139076033364548;212;-245572916666667;81952;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2015;ALB;AEG6;2015;111642453244627;385;85;20;4;4;107.628593436765;80;15;978967564142445;0;0;0;1;1;29.8283748670576;1;1;1116.42453244627;0;0;302310542501877;212;835489416666667;62715;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2016;ALB;AEG6;2016;197020601332005;418;125;24;5;5;90.9010634766393;119;18;186777846146786;0;0;0;1;1;11.5264883755522;3;3;1970.20601332005;2;2;597016141200847;212;256007553719008;73687;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG06_2017;ALB;AEG6;2017;421161060925619;351;126;22;2;1;73.447149793116;123;20;411524272131677;0;0;0;1;1;22.920738146307;15;4;4211.61060925619;7;2;2821304004024;212;-4451875;72681;6506;5877;54;4048;284;1212;0;0
grassland;annual;AEG07_2008;ALB;AEG7;2008;106910445439758;735;231;53;13;10;170.987767695441;217;42;104369995497916;0;0;0;1;1;83.0572264887545;18;11;10691.0445439758;9;7;196567945928828;52;117049223140496;74018;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2009;ALB;AEG7;2009;644165271110883;274;79;28;7;7;411.920592203454;72;21;602973211890537;0;0;0;0;0;0;8;4;6441.65271110883;3;2;189455981635716;52;-5736945;75754;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2010;ALB;AEG7;2010;309974144869457;200;43;16;2;2;10.2342473431045;41;14;308950720135147;0;0;0;0;0;0;3;3;3099.74144869457;2;2;610436033006285;52;-50491983333333;69578;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2011;ALB;AEG7;2011;289280440669431;253;103;20;2;2;43.6867346927148;101;18;284911767200159;0;0;0;0;0;0;12;4;2892.80440669431;3;2;553204552424718;52;-360712083333333;57114;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2012;ALB;AEG7;2012;227668465832732;153;16;8;2;2;18.9703126554564;14;6;208698153177276;0;0;0;0;0;0;0;0;227.668465832732;0;0;0;52;146112727272727;61055;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2013;ALB;AEG7;2013;102194012568008;156;41;18;3;3;48.9522048067934;36;13;101315831602804;0;0;0;2;2;38.8658917136877;9;4;10219.4012568008;3;1;170937910817725;52;-266718916666667;82847001;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2014;ALB;AEG7;2014;267272727378005;290;39;16;2;1;27.0214613066842;36;14;264570581247337;0;0;0;0;0;0;3;3;2672.72727378005;1;1;728341407383223;52;176258358333333;79392;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2015;ALB;AEG7;2015;339895037387332;539;193;34;9;8;165.852281499086;184;26;323309809237423;0;0;0;0;0;0;31;8;3398.95037387332;22;5;23641679161448;52;865017833333333;63302;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2016;ALB;AEG7;2016;422260657156179;350;104;25;3;3;31.4018754272157;101;22;419120469613458;0;0;0;0;0;0;16;4;4222.60657156179;4;2;497125735264594;52;317243760330579;71146;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG07_2017;ALB;AEG7;2017;129999709435052;208;40;20;7;3;113.702458121009;33;17;118629463622951;0;0;0;0;0;0;6;2;1299.99709435052;1;1;652228026534795;52;503246833333333;71148;4975;3366;2982;3012;666;1174;0;31
grassland;annual;AEG08_2008;ALB;AEG8;2008;421611071541063;742;441;33;5;3;133.81452514005;436;30;408229619027058;0;0;0;0;0;0;13;7;4216.11071541063;3;3;108675750007352;128;105934570247934;76094;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2009;ALB;AEG8;2009;814975823597587;654;226;42;6;6;156.472517174382;220;36;799328571880149;0;0;0;0;0;0;40;12;8149.75823597587;23;4;425725184349418;128;-94938208333333;90291;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2010;ALB;AEG8;2010;209903626913533;108;28;17;3;2;675.351093532478;24;14;141017444494951;1;1;13.5107306533421;0;0;0;4;4;2099.03626913533;4;4;612391681069982;128;-66884383333333;7843;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2011;ALB;AEG8;2011;559646388747515;132;40;13;2;2;255.384447702433;38;11;304261941045082;0;0;0;0;0;0;3;3;559.646388747515;1;1;140814047649705;128;-50986475;59991;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2012;ALB;AEG8;2012;193044180731261;89;17;12;4;4;80.1477843782922;13;8;112896396352968;0;0;0;0;0;0;1;1;193.044180731261;1;1;115264883755522;128;-199276611570248;62493;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2013;ALB;AEG8;2013;994058184814859;143;46;15;6;4;32.7411607943097;40;11;961317024020549;0;0;0;0;0;0;8;4;994.058184814859;4;2;54741677429532;128;-471535083333333;84283;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2014;ALB;AEG8;2014;797195243790792;155;11;7;1;1;4.85211408678928;10;6;792343129704003;0;0;0;0;0;0;8;4;797.195243790792;1;1;787569718382954;128;164801058333333;84541;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2015;ALB;AEG8;2015;175999851715686;223;136;18;1;1;2.7818133518859;135;17;175721670380497;0;0;0;0;0;0;28;8;1759.99851715686;7;3;74592594162766;128;735843916666667;66388;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2016;ALB;AEG8;2016;462953232769552;307;99;24;2;2;15.0393162665553;97;22;461449301142896;0;0;0;0;0;0;6;6;4629.53232769552;4;4;675887296069841;128;29676926446281;7323;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG08_2017;ALB;AEG8;2017;76743415104865;122;25;10;1;1;2.55280732177317;24;9;764881343726877;0;0;0;0;0;0;2;2;767.43415104865;2;2;16423462207487;128;-9826083333333;77923;7141;5425;444;4253;3208;2635;2859;43
grassland;annual;AEG09_2008;ALB;AEG9;2008;107349352287537;667;223;47;3;2;42.7148461684582;219;44;106323846862561;0;0;0;1;1;59.8356963291091;37;9;10734.9352287537;15;5;297288798461758;73;127957619834711;64396;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2009;ALB;AEG9;2009;19009417211234;603;103;27;4;4;32.8664661917255;99;23;186807525493168;0;0;0;0;0;0;24;8;1900.9417211234;10;3;785376320109031;73;-8818055;77615;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2010;ALB;AEG9;2010;225142340252092;239;49;20;4;3;237.22427226902;44;16;198437075538485;0;0;0;1;1;29.8283748670576;12;5;2251.42340252092;9;4;658548892227938;73;-454048416666667;74491;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2011;ALB;AEG9;2011;422392684802438;427;88;36;3;3;41.9790308066521;82;30;394257979958202;0;0;0;3;3;239.36801763571;25;9;4223.92684802438;7;4;230482816058016;73;-305222166666667;57031;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2012;ALB;AEG9;2012;550808097701094;179;22;15;5;4;94.7274216564703;17;11;456080676044624;0;0;0;0;0;0;4;3;550.808097701094;1;1;194032173777807;73;-44820991735537;57114;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2013;ALB;AEG9;2013;212336023682403;246;76;15;0;0;0;75;14;168775389494947;0;0;0;1;1;435.606341874559;13;4;2123.36023682403;6;3;513783605688413;73;-39041416666667;84450999;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2014;ALB;AEG9;2014;457709061068793;670;83;33;11;7;203.413904701445;72;26;437367670598648;0;0;0;0;0;0;14;6;4577.09061068793;7;3;146788859064727;73;190754833333333;81333;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2015;ALB;AEG9;2015;300294249319649;408;113;34;6;6;134.498783447171;107;28;286844370974932;0;0;0;0;0;0;41;10;3002.94249319649;16;5;165013874740911;73;1056882;59788;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2016;ALB;AEG9;2016;516784560900034;356;105;24;6;4;73.3749638624857;98;19;506112369536807;0;0;0;1;1;33.3469497697795;3;3;5167.84560900034;1;1;134683728865639;73;322257917355372;77567;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG09_2017;ALB;AEG9;2017;31608115243901;391;91;28;5;5;105.617975718829;85;22;303227281052496;0;0;0;1;1;22.920738146307;18;7;3160.8115243901;12;3;104039900331184;73;-26609;71341;8288;4056;357;3487;1139;1325;107;1862
grassland;annual;AEG10_2008;ALB;AEG10;2008;221115712104057;2520;1829;49;13;7;485.137241758124;1814;41;216229246684829;0;0;0;2;1;3.50930016474037;58;12;22111.5712104057;10;6;441205205749377;102;-170471487603306;69845;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2009;ALB;AEG10;2009;110027183969441;471;203;34;6;5;499.438926618355;196;28;104978549976399;0;0;0;1;1;5.42447268584173;35;9;11002.7183969441;19;7;499880292768056;102;-224482616666667;82584;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2010;ALB;AEG10;2010;157030916999774;359;70;24;19;7;772.154230087595;51;17;798154939910148;0;0;0;0;0;0;16;3;1570.30916999774;16;3;112052855381588;102;-119925333333333;72124;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2011;ALB;AEG10;2011;174082046278675;248;57;15;4;2;82.924279602806;53;13;165789618318394;0;0;0;0;0;0;26;5;1740.82046278675;13;4;130477529110477;102;-118943375;61295;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2012;ALB;AEG10;2012;177767348447355;99;27;8;4;3;82.3023500545319;23;5;169537113441902;0;0;0;0;0;0;20;2;1777.67348447355;0;0;154459654662219;102;-81772719008264;62917;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2014;ALB;AEG10;2014;3891218362876;812;120;26;8;7;219.659144607612;112;19;367155921826839;0;0;0;0;0;0;22;4;3891.218362876;4;2;143551786608185;102;167785766666667;81311;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2015;ALB;AEG10;2015;845835795885393;637;243;38;13;5;1983.65917760088;229;32;640383968560588;0;0;0;1;1;70.8590956471639;75;11;8458.35795885393;56;8;447792732278806;102;940864833333333;70161;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2016;ALB;AEG10;2016;186049159249262;308;81;17;3;2;174.065411373334;78;15;168642618111928;0;0;0;0;0;0;11;4;1860.49159249262;5;3;123631890556156;102;281005884297521;62475;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG10_2017;ALB;AEG10;2017;388154073888838;390;88;24;2;2;53.7739579479285;86;22;382776678094045;0;0;0;0;0;0;4;1;3881.54073888838;4;1;237232286140729;102;-434406;69638;8544;5967;4266;4052;117;1101;2;784
grassland;annual;AEG11_2008;ALB;AEG11;2008;395086322972128;487;389;13;0;0;0;388;12;394910857963891;0;0;0;1;1;1.75465008237019;7;2;3950.86322972128;0;0;402622067215175;218;127262033057851;83688;3031;2388;2394;2081;1242;1106;0;833
grassland;annual;AEG11_2009;ALB;AEG11;2009;376589961063775;553;318;12;1;1;13.5107306533421;317;11;375238887998441;0;0;0;0;0;0;3;3;3765.89961063775;1;1;733063411736171;218;-61566308333333;85342;3031;2388;2394;2081;1242;1106;0;833
grassland;annual;AEG11_2010;ALB;AEG11;2010;39084775703926;433;115;25;10;7;764.326676768479;104;17;312123015547781;0;0;0;1;1;22.920738146307;4;2;3908.4775703926;3;1;184119073964882;218;-297007083333333;77541001;3031;2388;2394;2081;1242;1106;0;833
grassland;annual;AEG11_2011;ALB;AEG11;2011;485436776335018;462;96;28;6;6;383.947581472044;89;21;442929263237722;0;0;0;1;1;41.1275495009245;7;3;4854.36776335018;4;2;196983027431831;218;-245822833333333;57172;3031;2388;2394;2081;1242;1106;0;833
grassland;annual;AEG11_2012;ALB;AEG11;2012;782586432188969;678;118;25;5;4;326.062939675119;104;20;729351473889781;0;0;0;9;1;206.286643316763;72;5;7825.86432188969;6;3;65587366552004;218;31126347107438;59458;3031;2388;2394;2081;1242;1106;0;833
